order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,snapshot_date
f847298c3beb552989d31c5f673da6fc,c2ea1149b67ac4b480ff15b3b31110ee,delivered,2018-03-14T11:22:37.000Z,2018-03-14T12:00:25.000Z,2018-03-14T23:42:30.000Z,2018-04-02T22:17:31.000Z,2018-04-03T00:00:00.000Z,14_03_2018
4edca0186e467f58fe99ab648f604ce8,1d06482d82c32c8752f4decbbffe7623,delivered,2018-03-14T15:55:57.000Z,2018-03-14T16:10:39.000Z,2018-03-20T00:02:52.000Z,2018-04-23T10:41:24.000Z,2018-04-16T00:00:00.000Z,14_03_2018
8d52f577ba7567489fd16d17e594616d,e773252cc3222d0c3ae7694b271e2e32,delivered,2018-03-14T21:15:33.000Z,2018-03-14T21:28:38.000Z,2018-03-15T16:07:47.000Z,2018-03-19T23:27:23.000Z,2018-04-02T00:00:00.000Z,14_03_2018
ed3096861c94e38da3ac5ded1f35a0b0,99b1950e7fcf9d753b721988c2eb724e,delivered,2018-03-14T15:15:19.000Z,2018-03-14T15:30:31.000Z,2018-03-16T23:55:35.000Z,2018-03-19T21:48:38.000Z,2018-04-10T00:00:00.000Z,14_03_2018
807a4c5f5dab3090fbad1dd16140f706,66741453d979b61f9cdf5a20f382e6b6,delivered,2018-03-14T20:31:40.000Z,2018-03-14T20:48:19.000Z,2018-03-19T18:05:13.000Z,2018-04-09T17:28:40.000Z,2018-04-05T00:00:00.000Z,14_03_2018
f230041025cb889113e0999362dc2ad1,3c0a441449190dbe7fbcda9358caae84,delivered,2018-03-14T17:24:47.000Z,2018-03-14T17:35:30.000Z,2018-03-20T16:55:47.000Z,2018-04-13T20:03:22.000Z,2018-04-11T00:00:00.000Z,14_03_2018
7117ea59ab9bdbf381b1a880eb25b07c,9026aa2a4b854ef18f281eee09434801,delivered,2018-03-14T10:15:23.000Z,2018-03-15T03:30:33.000Z,2018-03-16T17:51:17.000Z,2018-03-20T00:06:33.000Z,2018-03-26T00:00:00.000Z,14_03_2018
eede8f1b542f41da8b04e72bdd357dde,a70394b12364e5ae44f4553c76076a6a,delivered,2018-03-14T13:19:06.000Z,2018-03-14T14:00:30.000Z,2018-03-15T23:12:00.000Z,2018-04-05T22:06:46.000Z,2018-04-09T00:00:00.000Z,14_03_2018
6da61def5ee2d55fc6b9dfbc43efca0b,006fffc5b0accd275de3e3a4b6d0832d,delivered,2018-03-14T13:28:44.000Z,2018-03-15T03:15:36.000Z,2018-03-16T23:04:27.000Z,2018-04-12T12:51:16.000Z,2018-04-13T00:00:00.000Z,14_03_2018
b30b21d5d13aae0cb5533dd7ab3f90eb,e4036c0b5c6ae37e645d34a8293a79d1,delivered,2018-03-14T11:32:24.000Z,2018-03-15T11:29:18.000Z,2018-03-21T01:37:34.000Z,2018-03-28T18:38:27.000Z,2018-04-06T00:00:00.000Z,14_03_2018
