order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,snapshot_date
f848643eec1d69395095eb3840d2051e,4fa1cd166fa598be6de80fa84eaade43,delivered,2018-03-15T08:52:40.000Z,2018-03-15T09:09:31.000Z,2018-03-15T19:52:48.000Z,2018-03-19T18:08:32.000Z,2018-03-29T00:00:00.000Z,2018_03_15
43d88b0e949865904334dd5b3ca63f50,aa601b3c45980c0918042d5ca7a25054,delivered,2018-03-15T16:59:11.000Z,2018-03-15T17:15:42.000Z,2018-03-19T15:03:06.000Z,2018-03-20T16:13:27.000Z,2018-04-02T00:00:00.000Z,2018_03_15
4570fa83dbb31a563e06db0a554b951e,cdfe21141f5df77ba0fb20bef6621a9f,delivered,2018-03-15T20:23:45.000Z,2018-03-16T20:31:55.000Z,2018-03-20T23:42:44.000Z,2018-03-29T19:22:10.000Z,2018-04-06T00:00:00.000Z,2018_03_15
662823ed689412b9a2e5085620e06070,b4214b2e14c916724d94efe51fcbd1f0,shipped,2018-03-15T15:57:24.000Z,2018-03-15T16:11:07.000Z,2018-03-19T20:28:42.000Z,,2018-04-05T00:00:00.000Z,2018_03_15
af9ce0d4f36308fcf461b3f497c24bcb,690834a6694434cfb474ee30305154f4,delivered,2018-03-15T09:38:31.000Z,2018-03-15T09:50:48.000Z,2018-03-21T19:26:57.000Z,2018-03-28T21:12:29.000Z,2018-03-27T00:00:00.000Z,2018_03_15
886554d6a49f10154eb12b81a6c4ef4b,42382073d3ad89dce202e766862bc851,delivered,2018-03-15T13:11:13.000Z,2018-03-15T13:29:59.000Z,2018-03-16T21:53:45.000Z,2018-03-24T10:33:10.000Z,2018-04-23T00:00:00.000Z,2018_03_15
632caa865e0a254b21fc0ce5e6d02006,7d03d567ff50c1fb0e43724bf5f92fe7,delivered,2018-03-15T18:52:27.000Z,2018-03-16T17:35:37.000Z,2018-03-19T19:28:29.000Z,2018-03-21T21:21:15.000Z,2018-03-28T00:00:00.000Z,2018_03_15
4460d444aff619a6e34f6080d64a3e73,6e1f1a05297f39ca54b3949e68c9a0a6,delivered,2018-03-15T16:31:03.000Z,2018-03-15T16:49:07.000Z,2018-03-16T20:12:51.000Z,2018-04-06T17:39:29.000Z,2018-04-17T00:00:00.000Z,2018_03_15
7ad99dd647ac730449ac7193ca005527,6dfe3ddd436ac19e55962c1e03189bc4,delivered,2018-03-15T22:13:17.000Z,2018-03-15T22:32:08.000Z,2018-03-23T15:26:25.000Z,2018-04-02T21:28:30.000Z,2018-04-04T00:00:00.000Z,2018_03_15
a56f9a0588c3c7aaaa93f193bd7c7cd3,7942ca8baa666af529e54d8cf200d57b,delivered,2018-03-15T12:40:16.000Z,2018-03-16T03:50:08.000Z,2018-03-20T00:12:29.000Z,2018-03-26T15:04:21.000Z,2018-04-04T00:00:00.000Z,2018_03_15
1ef47fb13ee9044b5e5aa3bd388755de,c1f326c1584e139615e3ba4ae4d23760,delivered,2018-03-15T10:58:23.000Z,2018-03-15T11:10:29.000Z,2018-03-15T23:58:52.000Z,2018-04-12T21:05:53.000Z,2018-04-06T00:00:00.000Z,2018_03_15
81d8e5d965001789e9f871f474afaad5,4f3e1edfa3261b15f51c59030d12847f,delivered,2018-03-15T18:28:28.000Z,2018-03-15T18:49:09.000Z,2018-03-21T22:14:52.000Z,2018-03-23T00:38:46.000Z,2018-03-27T00:00:00.000Z,2018_03_15
6373b46dd60ea2f0d7890c131155a0a8,e93fe682b610d10753091905388c433f,delivered,2018-03-15T17:33:38.000Z,2018-03-15T17:55:43.000Z,2018-03-27T23:24:51.000Z,2018-04-05T21:14:34.000Z,2018-04-24T00:00:00.000Z,2018_03_15
67b2034550d68134bdb9bac8c1988c39,8a46fa344fdeaff9de14ab259778bd5f,delivered,2018-03-15T10:00:16.000Z,2018-03-15T10:15:35.000Z,2018-03-19T14:23:37.000Z,2018-03-20T15:52:30.000Z,2018-03-29T00:00:00.000Z,2018_03_15
f62aae152b6b5527f7516b34bbf154e2,9bb7c4f2cdbf2d4f9066b806594cf1b2,delivered,2018-03-15T14:09:16.000Z,2018-03-15T14:29:43.000Z,2018-03-16T17:55:47.000Z,2018-03-27T17:36:54.000Z,2018-04-03T00:00:00.000Z,2018_03_15
b82e534d287170368e83fab61e685fc3,55b6a9a61de79fa7e7f0b659c603cb1e,delivered,2018-03-15T15:03:09.000Z,2018-03-15T15:15:45.000Z,2018-03-16T19:36:40.000Z,2018-03-21T19:48:28.000Z,2018-04-03T00:00:00.000Z,2018_03_15
70eaa52116958c2e734172d6ed51015e,ab3e2234cc7f0a87910d05b6dfe9a70e,delivered,2018-03-15T14:17:38.000Z,2018-03-16T14:10:58.000Z,2018-03-17T00:33:04.000Z,2018-03-27T18:26:42.000Z,2018-03-27T00:00:00.000Z,2018_03_15
27bee06c27de3976958f786390f2d31f,43214f27fade5559699e2b5687236333,delivered,2018-03-15T12:33:14.000Z,2018-03-15T12:49:21.000Z,2018-03-19T22:05:16.000Z,2018-03-20T23:11:26.000Z,2018-03-27T00:00:00.000Z,2018_03_15
a56600c329635ec16de77fc6b2ed8ed5,db1fe2ae7820e9233b572700af9930b2,delivered,2018-03-15T16:24:11.000Z,2018-03-15T16:35:36.000Z,2018-03-22T21:33:47.000Z,2018-03-24T08:16:31.000Z,2018-03-27T00:00:00.000Z,2018_03_15
ca6c5ad670e608ffff583b9ae9de0eaf,f59ce365bf34e682beb1ebcbac349dbf,delivered,2018-03-15T09:02:22.000Z,2018-03-17T02:45:38.000Z,2018-03-19T15:17:37.000Z,2018-03-29T11:14:58.000Z,2018-04-03T00:00:00.000Z,2018_03_15
6d37c6659de0183777f4035151bd508a,73910c380c76a4dca24e4e6bfdad16e2,shipped,2018-03-15T20:43:34.000Z,2018-03-15T20:56:01.000Z,2018-03-16T20:37:48.000Z,,2018-04-17T00:00:00.000Z,2018_03_15
614ac345b8ae4fb04e145cb26a089760,28e804a0bb410951414f16c56d93d80e,delivered,2018-03-15T14:01:17.000Z,2018-03-15T14:15:52.000Z,2018-03-16T22:42:02.000Z,2018-04-05T13:05:30.000Z,2018-04-06T00:00:00.000Z,2018_03_15
8f7f000c35c951ac51ce055b965ef2c9,f31ab086c3d9d2f24bfbc27e6a7dc672,delivered,2018-03-15T08:08:09.000Z,2018-03-15T08:29:30.000Z,2018-03-16T22:28:46.000Z,2018-04-11T19:48:48.000Z,2018-04-06T00:00:00.000Z,2018_03_15
5c48604208ff2a0458a13f33a4c7ef1e,1ec4d570acab4c499a5b92cb5d2f8967,delivered,2018-03-15T18:35:33.000Z,2018-03-16T18:30:39.000Z,2018-03-19T23:04:59.000Z,2018-03-26T23:26:34.000Z,2018-04-09T00:00:00.000Z,2018_03_15
00d1289d5125017a90e528b5a7cee91f,ba0ff1667f88b3a0da55d80dff50b0fb,delivered,2018-03-15T11:11:52.000Z,2018-03-15T11:29:14.000Z,2018-03-16T22:12:16.000Z,2018-06-19T18:42:26.000Z,2018-04-06T00:00:00.000Z,2018_03_15
d61c0e8066e7a5a2e6071533b9efdd95,7981495344f1ca4aad199e996ce20b54,delivered,2018-03-15T14:14:53.000Z,2018-03-17T02:40:27.000Z,2018-03-20T17:28:32.000Z,2018-04-09T23:58:35.000Z,2018-04-03T00:00:00.000Z,2018_03_15
