order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,snapshot_date
6147a4d49752afd35a119d794e481588,938698ae953596e231326da5ff220f68,shipped,2017-04-25T13:35:09.000Z,2017-04-25T13:45:16.000Z,2017-05-02T15:29:33.000Z,,2017-05-29T00:00:00.000Z,2017_04_25
d44b754260def6c94daa9e661e530044,50c065ad9fbbc477d28bbb56dcb61600,delivered,2017-04-25T21:33:39.000Z,2017-04-27T13:15:50.000Z,2017-04-28T17:52:55.000Z,2017-05-09T16:43:57.000Z,2017-05-16T00:00:00.000Z,2017_04_25
2b5d3344cbf347b2aa5bc40c5deb3de6,d612ae3fd747409f47e50348961f5b6c,delivered,2017-04-25T15:33:12.000Z,2017-04-25T15:45:13.000Z,2017-05-03T12:05:48.000Z,2017-05-09T10:08:44.000Z,2017-05-12T00:00:00.000Z,2017_04_25
3a69cf7fb9acd41b2781253402540b9b,766f1f01fc8ad721bd4c72207ed2fe08,delivered,2017-04-25T11:30:33.000Z,2017-04-25T11:45:10.000Z,2017-04-28T13:37:51.000Z,2017-05-08T13:39:03.000Z,2017-05-26T00:00:00.000Z,2017_04_25
69a236fbbc4a603ebfa4468a3bdcb140,1bd6b1b425cc25c6e0c79f68d28fe2fb,delivered,2017-04-25T01:46:02.000Z,2017-04-27T10:32:00.000Z,2017-04-26T09:11:44.000Z,2017-05-03T13:39:47.000Z,2017-05-25T00:00:00.000Z,2017_04_25
7e0710390947061c95e5a19aae5dd14a,83ab0b0599bfe9b384a53a6ff93b621e,delivered,2017-04-25T14:56:04.000Z,2017-04-26T09:35:10.000Z,2017-04-26T10:44:54.000Z,2017-05-02T15:59:11.000Z,2017-05-12T00:00:00.000Z,2017_04_25
6222f10321c7b098c4d165139993de63,e116cc872d298c958010d6d0b888682d,delivered,2017-04-25T19:30:13.000Z,2017-04-26T09:34:57.000Z,2017-04-27T11:24:46.000Z,2017-05-17T14:54:46.000Z,2017-05-22T00:00:00.000Z,2017_04_25
fadb404d8fd1514e9ae53780ca9bab75,6a06ba0de1437770f6b5709314369ce5,delivered,2017-04-25T09:29:07.000Z,2017-04-25T09:42:15.000Z,2017-04-25T10:38:51.000Z,2017-05-04T16:42:46.000Z,2017-05-16T00:00:00.000Z,2017_04_25
bd6a18e7a7310602453f4fa2a74ccdb4,7c9cd3cca2b9e21c63bf307f7b284685,delivered,2017-04-25T08:06:05.000Z,2017-04-26T09:36:46.000Z,2017-04-26T21:07:21.000Z,2017-05-02T11:56:54.000Z,2017-05-12T00:00:00.000Z,2017_04_25
90861ef1f4e7a006095e1d5dd38f2195,49a5cb9469b39dffb92314ebff1efd28,invoiced,2017-04-25T20:38:07.000Z,2017-04-25T20:50:20.000Z,,,2017-05-12T00:00:00.000Z,2017_04_25
6c714ec645881d7a96e3193eb2fb10f3,0e4c745efdd0bf2b7dc380ef27da4844,delivered,2017-04-25T00:15:22.000Z,2017-04-25T00:42:18.000Z,2017-04-28T07:17:52.000Z,2017-05-23T23:42:10.000Z,2017-05-26T00:00:00.000Z,2017_04_25
03f9705f9135ccb809e74e902f19b2e8,22fdc6255f0b1dd9fb663cbf1e8f9db9,delivered,2017-04-25T21:15:01.000Z,2017-04-25T21:25:13.000Z,2017-04-26T15:28:53.000Z,2017-05-06T09:24:06.000Z,2017-05-19T00:00:00.000Z,2017_04_25
6b10bcc45d0801d7ceaabf248641a3a1,c3061bec9f31ab432ff4085ac347df7e,delivered,2017-04-25T18:06:07.000Z,2017-04-30T20:31:27.000Z,2017-05-04T06:53:27.000Z,2017-05-08T12:13:14.000Z,2017-05-12T00:00:00.000Z,2017_04_25
e12e00057650090fead5dc4e44cdbd0b,a3ec634b294a29ac054260888614fd40,delivered,2017-04-25T02:42:23.000Z,2017-04-25T02:55:10.000Z,2017-04-27T15:48:08.000Z,2017-05-09T09:51:41.000Z,2017-05-12T00:00:00.000Z,2017_04_25
d8d0488eb1aa33a391551c5bbe00e93f,7f4802bd5d7365cd23b2dab76a07fae8,delivered,2017-04-25T16:33:17.000Z,2017-04-26T09:35:18.000Z,2017-04-26T09:44:29.000Z,2017-05-04T11:52:06.000Z,2017-05-16T00:00:00.000Z,2017_04_25
67769a73846d87e262821ff4761545d4,f158fc2fa2ef6499597207f4dcc7a6ed,delivered,2017-04-25T16:33:00.000Z,2017-04-25T16:45:16.000Z,2017-04-26T12:18:13.000Z,2017-05-02T11:14:41.000Z,2017-05-30T00:00:00.000Z,2017_04_25
