order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,snapshot_date
cf1bc456a0d5c63bb6c94d3b8b2c56e7,3957cd0afb5bb497ebba4cc825703737,delivered,2017-09-06T10:15:27.000Z,2017-09-09T06:34:59.000Z,2017-09-12T14:32:56.000Z,2017-09-19T17:54:20.000Z,2017-09-26T00:00:00.000Z,2017_09_06
4bc02ff9a093f3cc4119a960969f5f74,81e002e37c83087d148d2062bb1ba395,delivered,2017-09-06T20:56:29.000Z,2017-09-06T21:10:11.000Z,2017-09-08T18:47:38.000Z,2017-09-18T22:51:39.000Z,2017-09-27T00:00:00.000Z,2017_09_06
cbe9eae36605cf2bd005c6bc1ae5f864,e8ab70fc0d2c473d43b64647d1d73414,delivered,2017-09-06T19:51:50.000Z,2017-09-07T20:05:30.000Z,2017-09-12T13:57:36.000Z,2017-10-03T18:44:54.000Z,2017-09-26T00:00:00.000Z,2017_09_06
493bfa3afd1c7c384e300b4f4b511048,47d35d8232327cb512ac7b6b84305871,delivered,2017-09-06T12:51:43.000Z,2017-09-06T13:05:11.000Z,2017-09-12T16:29:31.000Z,2017-09-23T16:26:23.000Z,2017-10-02T00:00:00.000Z,2017_09_06
0334c2700a7e8ac0f3efeb36b4a91e68,48ee4490f797cdb00bf00f9255351ee4,delivered,2017-09-06T22:41:34.000Z,2017-09-06T22:50:15.000Z,2017-09-08T19:49:56.000Z,2017-09-19T19:52:37.000Z,2017-10-05T00:00:00.000Z,2017_09_06
42895607072db349b61edb6cdbc363a3,2eb20bcef198dfa0ecc7d8e46ba0c856,delivered,2017-09-06T13:14:35.000Z,2017-09-06T13:30:14.000Z,2017-09-11T19:34:42.000Z,2017-10-05T18:37:25.000Z,2017-10-03T00:00:00.000Z,2017_09_06
d99c420247e75649dd121c367f391348,1622d70ef3cb92db3316803ecfc7671e,delivered,2017-09-06T15:36:32.000Z,2017-09-06T15:50:15.000Z,2017-09-12T19:41:21.000Z,2017-09-15T12:57:53.000Z,2017-09-19T00:00:00.000Z,2017_09_06
e2301ba70a8f5a2873aaa909c1b2ca33,32300a21d1cf6478f4c03c36dfb4cbe2,delivered,2017-09-06T01:19:03.000Z,2017-09-09T04:50:15.000Z,2017-09-11T18:27:04.000Z,2017-09-14T20:34:44.000Z,2017-09-25T00:00:00.000Z,2017_09_06
30a0d918b3ba882cd4f3557a0ac1182c,c0b858152a08ed0619c1f5adfbbd0c94,delivered,2017-09-06T18:08:22.000Z,2017-09-06T18:25:07.000Z,2017-09-13T17:13:04.000Z,2017-09-19T20:32:34.000Z,2017-10-03T00:00:00.000Z,2017_09_06
a90935cd3ef2041119e57ab117b352c1,2322c0f516a8bad266c770d1150e55a4,delivered,2017-09-06T21:18:14.000Z,2017-09-06T21:30:17.000Z,2017-09-12T22:09:19.000Z,2017-09-22T13:29:41.000Z,2017-09-29T00:00:00.000Z,2017_09_06
