order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,snapshot_date
a236ae70310b60403c3adac81f96d5e6,972e7c5340efc85efad5a12e49eff86a,delivered,2018-07-16T23:40:37.000Z,2018-07-17T00:35:16.000Z,2018-07-27T11:54:00.000Z,2018-08-06T17:40:28.000Z,2018-08-06T00:00:00.000Z,2018_07_16
fe91d55ea129eb6d5a2d5fc82bcacbd0,a5d6b2f5be2eca026d50b24773ef1113,delivered,2018-07-16T08:52:35.000Z,2018-07-16T09:04:17.000Z,2018-07-17T13:07:00.000Z,2018-07-24T20:15:34.000Z,2018-08-07T00:00:00.000Z,2018_07_16
95bf775f5db872acb7ac9cf5cdbbc292,ffc25a124da207c0b90a002ebfaa7184,delivered,2018-07-16T11:56:49.000Z,2018-07-16T12:10:11.000Z,2018-07-19T11:15:00.000Z,2018-07-23T14:42:45.000Z,2018-08-02T00:00:00.000Z,2018_07_16
1c07c0999a3f88b8c1b95e9a07cf5564,b83d1e4c6e630ab8dd058360d47b4c17,delivered,2018-07-16T15:24:53.000Z,2018-07-16T15:40:17.000Z,2018-07-17T14:28:00.000Z,2018-07-27T17:56:37.000Z,2018-08-01T00:00:00.000Z,2018_07_16
1c7c35deaf3a1639e247ce03babdfded,87edd217bd6fc063e3bcaded331967a7,delivered,2018-07-16T16:33:17.000Z,2018-07-16T16:45:10.000Z,2018-07-17T15:00:00.000Z,2018-07-20T19:57:58.000Z,2018-07-30T00:00:00.000Z,2018_07_16
74d91d0ed661cdf6683637341c196645,73126bea0883827ebbbabe078fc513bb,delivered,2018-07-16T15:53:49.000Z,2018-07-16T16:10:23.000Z,2018-07-17T14:31:00.000Z,2018-08-04T13:48:24.000Z,2018-08-06T00:00:00.000Z,2018_07_16
26a232627994b0bdd4a4975bedde0e63,afdde8786fe503ed8704b7b091d9265b,delivered,2018-07-16T14:00:31.000Z,2018-07-16T14:15:14.000Z,2018-07-20T14:41:00.000Z,2018-07-23T21:35:52.000Z,2018-08-07T00:00:00.000Z,2018_07_16
9959dfdd19dcc0fbcabc33723c619d74,a5a503bfb7b525f8176ea84c6a9389e4,delivered,2018-07-16T10:56:53.000Z,2018-07-16T11:10:19.000Z,2018-07-23T15:19:00.000Z,2018-07-27T20:29:18.000Z,2018-08-08T00:00:00.000Z,2018_07_16
a93cc6a86a64ca1f201b78f981adbc25,e86f553170b06db9ee781701ad6091ee,delivered,2018-07-16T19:02:18.000Z,2018-07-16T19:15:17.000Z,2018-07-19T14:56:00.000Z,2018-07-24T12:39:31.000Z,2018-07-31T00:00:00.000Z,2018_07_16
c8213e60d923c834447d410caab1898d,2ec09b0312464955bea7d384332ba8bc,delivered,2018-07-16T13:30:06.000Z,2018-07-16T13:45:13.000Z,2018-07-16T14:25:00.000Z,2018-07-26T15:36:40.000Z,2018-08-16T00:00:00.000Z,2018_07_16
