order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,snapshot_date
cc06813c8d9909633f390ed9b5df999f,640246e27e1df1ffe19d062550d0d5ab,delivered,2018-04-14T18:31:02.000Z,2018-04-14T18:52:37.000Z,2018-04-17T16:52:47.000Z,2018-05-17T21:43:34.000Z,2018-05-09T00:00:00.000Z,2018_04_14
4f5fa78eddf28c3f669aa1554fe38622,51437a7b80a72d28fb0dd8debbb7fc60,delivered,2018-04-14T18:24:57.000Z,2018-04-14T18:35:17.000Z,2018-04-16T20:14:39.000Z,2018-04-23T18:45:46.000Z,2018-05-11T00:00:00.000Z,2018_04_14
b0ee8cb0ccd868a2b5fd4b0f66bea08a,3b5595f4f91fa8f27d5d3a7ff2dd0831,delivered,2018-04-14T20:31:48.000Z,2018-04-16T08:51:07.000Z,2018-04-16T17:48:34.000Z,2018-05-09T19:03:20.000Z,2018-05-21T00:00:00.000Z,2018_04_14
77054c0ae83a94aa7dda477bf235645b,2e22bee00067f79174a49def8fec481c,delivered,2018-04-14T22:10:20.000Z,2018-04-17T04:11:41.000Z,2018-04-18T18:52:44.000Z,2018-05-04T18:42:31.000Z,2018-05-11T00:00:00.000Z,2018_04_14
7279d972e64c7ecfee553ae7b61480e4,2a0a7b746b977709c057f7f8cdf4ef49,delivered,2018-04-14T14:34:56.000Z,2018-04-14T14:51:58.000Z,2018-04-20T00:21:20.000Z,2018-04-30T20:51:37.000Z,2018-05-22T00:00:00.000Z,2018_04_14
57829c554e00894996ac7cdc85692e8f,58c91b2ec8eb157ed2315e16df70d236,delivered,2018-04-14T18:58:28.000Z,2018-04-14T19:11:06.000Z,2018-04-16T22:06:38.000Z,2018-04-24T21:18:53.000Z,2018-05-23T00:00:00.000Z,2018_04_14
dfbd932bdc2738f490b6969edb6f6919,aa820e5e82c2724e39fd639644077197,delivered,2018-04-14T16:20:24.000Z,2018-04-14T16:31:28.000Z,2018-04-20T00:59:26.000Z,2018-04-20T17:42:33.000Z,2018-05-03T00:00:00.000Z,2018_04_14
87c8e3ac05f5f884b03609437857cec4,297cfd6e0d647b3f27687bd95d0ed5ad,delivered,2018-04-14T18:19:52.000Z,2018-04-14T18:31:25.000Z,2018-04-17T22:21:50.000Z,2018-04-24T21:08:50.000Z,2018-05-09T00:00:00.000Z,2018_04_14
7727f2b370c8c7e236872c980d69968f,623edf812b63d58f3d26804f200f4aab,delivered,2018-04-14T14:23:32.000Z,2018-04-14T14:51:55.000Z,2018-04-17T17:41:48.000Z,2018-04-25T01:11:20.000Z,2018-05-30T00:00:00.000Z,2018_04_14
b2bcb2ca559e7f7cec2188a6ae542e87,446886f236863df587be219f66eb15bf,delivered,2018-04-14T16:54:01.000Z,2018-04-14T17:10:32.000Z,2018-04-16T21:28:36.000Z,2018-04-24T20:42:50.000Z,2018-05-14T00:00:00.000Z,2018_04_14
dd3fe5e02ede895e3b2c8290d2fb7d3e,bf4f36435b3455724b722f62bfd07991,delivered,2018-04-14T19:49:49.000Z,2018-04-14T20:10:14.000Z,2018-04-20T20:03:07.000Z,2018-04-26T17:48:51.000Z,2018-05-09T00:00:00.000Z,2018_04_14
027e4543814c3b3509bbe890c569a841,e27201cb2a28267142162d8a9d0585bd,delivered,2018-04-14T14:53:43.000Z,2018-04-14T15:10:30.000Z,2018-04-18T20:24:33.000Z,2018-04-25T19:51:40.000Z,2018-05-16T00:00:00.000Z,2018_04_14
9c462c053ec072efcaa5186110cf96b8,6fe805b1e977fdad24d70a3ddb2f32b2,delivered,2018-04-14T12:16:10.000Z,2018-04-14T12:31:54.000Z,2018-04-17T21:14:32.000Z,2018-04-23T18:58:48.000Z,2018-05-10T00:00:00.000Z,2018_04_14
2e4d78cc067d04eaaf791ecbfb2bc3ce,5234fd7181ad48cc892aeffb5cca652e,delivered,2018-04-14T09:18:34.000Z,2018-04-14T09:31:32.000Z,2018-04-16T15:19:27.000Z,2018-04-17T23:18:32.000Z,2018-04-26T00:00:00.000Z,2018_04_14
5f766dfc65eff86be5b3015dbce0e2c6,f018b0b1208c22cf006962995d3caca8,delivered,2018-04-14T18:20:05.000Z,2018-04-14T18:31:18.000Z,2018-04-17T17:22:01.000Z,2018-04-24T01:04:53.000Z,2018-05-21T00:00:00.000Z,2018_04_14
0ee55c31a39d19fd857c0c8a80b2001f,15de0ec010b2ebd460855dfffeaa9845,delivered,2018-04-14T10:50:26.000Z,2018-04-14T11:12:21.000Z,2018-04-16T17:58:29.000Z,2018-05-04T17:28:35.000Z,2018-05-08T00:00:00.000Z,2018_04_14
e2183a14b1ae4b679f96be80be081c1c,eac5cedd4ef3c39f81bde389889fef60,delivered,2018-04-14T17:38:24.000Z,2018-04-14T17:51:12.000Z,2018-04-17T22:21:21.000Z,2018-04-18T22:38:33.000Z,2018-05-03T00:00:00.000Z,2018_04_14
