order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,snapshot_date
ddcb9f924091ed9cc49b9c78d37d48b6,c7093c34ad7da76feb1fb87e5f6b366b,delivered,2017-04-17T14:48:17.000Z,2017-04-17T15:05:08.000Z,2017-04-18T11:03:22.000Z,2017-05-02T14:35:20.000Z,2017-05-16T00:00:00.000Z,17_04_2017
01380d0df5b7dc8bd13f2266a57bd42c,c903ba1283fbd5c51a9bad4ec9fd8d97,delivered,2017-04-17T19:32:46.000Z,2017-04-17T19:45:11.000Z,2017-04-18T09:48:21.000Z,2017-04-21T11:24:32.000Z,2017-05-08T00:00:00.000Z,17_04_2017
800dec7675338cd2670326aceb153f09,346b53f3b9d4d463d32641e88c68d85d,delivered,2017-04-17T21:09:46.000Z,2017-04-19T02:45:20.000Z,2017-04-20T07:56:36.000Z,2017-05-04T17:53:57.000Z,2017-05-10T00:00:00.000Z,17_04_2017
279eab1ce88064419806859e4575a10e,dda1c4364d7687bcc98ca8984550b081,delivered,2017-04-17T07:42:23.000Z,2017-04-18T03:51:12.000Z,2017-05-05T16:02:59.000Z,2017-05-18T05:59:41.000Z,2017-05-10T00:00:00.000Z,17_04_2017
231a870fbf37ed286dd61a582fcd03c7,8f0cfb786bfa2f508a5e1564f7f0a1ea,delivered,2017-04-17T16:00:20.000Z,2017-04-19T02:50:35.000Z,2017-04-20T14:16:17.000Z,2017-05-09T09:32:07.000Z,2017-05-11T00:00:00.000Z,17_04_2017
be0d2b44b80b01ebe58d57028bc5bcd6,a78dbe709d090a217ee4cd255a883277,delivered,2017-04-17T13:20:28.000Z,2017-04-17T13:30:10.000Z,2017-04-20T10:34:47.000Z,2017-05-03T12:46:03.000Z,2017-05-11T00:00:00.000Z,17_04_2017
f04ef4843992cd6ef01922a4649f3859,e151ebcb2f9ac48199efede5c799091c,shipped,2017-04-17T22:30:51.000Z,2017-04-17T22:45:15.000Z,2017-04-18T15:06:35.000Z,,2017-05-16T00:00:00.000Z,17_04_2017
af15b02bd22fa4485130964ab9c97f4d,90e0cca9678279db439534443b863dbd,delivered,2017-04-17T20:28:18.000Z,2017-04-19T02:55:38.000Z,2017-04-20T07:56:35.000Z,2017-05-01T09:46:03.000Z,2017-05-08T00:00:00.000Z,17_04_2017
8d9e0e9b9c21b1aca2464bb5d5210831,96b2d23105c01cf8692c3d83914ad90d,delivered,2017-04-17T13:33:37.000Z,2017-04-18T19:55:32.000Z,2017-04-19T13:44:04.000Z,2017-05-09T11:42:57.000Z,2017-05-22T00:00:00.000Z,17_04_2017
08c6860a0281fefc591da60249d5fa76,3ebd35ebde56dc990f6069767e98c9b5,delivered,2017-04-17T20:12:02.000Z,2017-04-17T20:22:32.000Z,2017-04-18T09:01:12.000Z,2017-04-26T13:27:46.000Z,2017-05-12T00:00:00.000Z,17_04_2017
bf375386af3b1f89486a565f182219a8,396465e3756fb18143009cbe0b8cb558,delivered,2017-04-17T14:04:59.000Z,2017-04-17T14:15:18.000Z,2017-04-17T15:16:44.000Z,2017-05-01T12:34:00.000Z,2017-05-18T00:00:00.000Z,17_04_2017
2f5c5719818df4d83050dd5174ca0288,1be3deb75d2f1f4fdfbd22c4650136f6,delivered,2017-04-17T10:06:22.000Z,2017-04-17T10:22:27.000Z,2017-04-18T14:48:18.000Z,2017-05-05T14:08:12.000Z,2017-05-10T00:00:00.000Z,17_04_2017
a07d031ec2c5fdaba3a363a4f5a98350,9d81175f83b45c6a446a8d3dfedd1a25,delivered,2017-04-17T22:24:49.000Z,2017-04-17T22:42:08.000Z,2017-04-18T15:03:51.000Z,2017-04-27T11:40:07.000Z,2017-05-17T00:00:00.000Z,17_04_2017
d194fbbc2e37d685b6adbf21897ed49d,171345b7d45c10d2ff1a8cfc52c163db,delivered,2017-04-17T22:17:24.000Z,2017-04-18T22:25:18.000Z,2017-04-19T15:40:16.000Z,2017-04-27T14:51:43.000Z,2017-05-10T00:00:00.000Z,17_04_2017
5f48fa73561d6de6cd6cca04a466840e,7458e588e5b977cbeaf1b350aacfafb4,delivered,2017-04-17T23:17:28.000Z,2017-04-18T00:10:48.000Z,2017-04-18T13:03:25.000Z,2017-05-08T09:10:21.000Z,2017-05-16T00:00:00.000Z,17_04_2017
bda48a4ac6c3da5a90069adfc818311a,4d72e095237b53ac52c899ad48dd3deb,shipped,2017-04-17T09:56:09.000Z,2017-04-17T10:10:16.000Z,2017-04-18T14:28:06.000Z,,2017-05-10T00:00:00.000Z,17_04_2017
5ef95d0a45b4caaaa70e601665ba1a6a,11862cf00ec1d9f5067508ecf1252790,delivered,2017-04-17T21:38:31.000Z,2017-04-18T02:15:13.000Z,2017-04-18T08:51:11.000Z,2017-05-15T08:17:43.000Z,2017-05-24T00:00:00.000Z,17_04_2017
b2c2d4d3b4f7a9fa42e60649bd8a9855,25bb375746821b2a2eb9d7061755b4ef,delivered,2017-04-17T15:27:41.000Z,2017-04-17T15:42:52.000Z,2017-04-25T14:49:48.000Z,2017-05-18T08:16:45.000Z,2017-05-22T00:00:00.000Z,17_04_2017
5bbefc7681fa8a2100a3703fe4b9c03d,7fd5fb2dcf34b7e1fee264a1ea5daea3,delivered,2017-04-17T23:52:59.000Z,2017-04-18T18:05:15.000Z,2017-04-19T13:47:59.000Z,2017-04-27T13:44:14.000Z,2017-05-10T00:00:00.000Z,17_04_2017
