order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,snapshot_date
ce9feeba53c652dd6569cca62e2bb287,f7398fc942c8fa80e5419ae52e49f7fb,delivered,2018-04-15T19:42:06.000Z,2018-04-15T19:55:20.000Z,2018-04-19T14:32:30.000Z,2018-04-20T23:12:11.000Z,2018-04-26T00:00:00.000Z,2018_04_15
0ab63e307694f40a88a0ecd358c0939d,f239edc4401c9043a2c8f37fe164b273,delivered,2018-04-15T22:11:11.000Z,2018-04-17T05:50:27.000Z,2018-04-19T02:22:27.000Z,2018-04-25T18:11:42.000Z,2018-05-09T00:00:00.000Z,2018_04_15
297a7adc75a9a48c518c7048426b9675,152d5eeccb9cbfd05ed8ab2395a14b66,delivered,2018-04-15T20:12:35.000Z,2018-04-15T20:30:47.000Z,2018-04-17T22:18:37.000Z,2018-04-24T13:13:03.000Z,2018-05-10T00:00:00.000Z,2018_04_15
1c9f6ba93f9fde712da4fa24ecc30660,58a75ca9de60ce1a749012bfccf2c926,delivered,2018-04-15T15:25:22.000Z,2018-04-15T15:51:06.000Z,2018-04-16T18:17:49.000Z,2018-04-20T18:26:47.000Z,2018-05-14T00:00:00.000Z,2018_04_15
dbd10344065568345dadbd904bb51dc1,1589f4bea320a405a122738de980c6e2,delivered,2018-04-15T17:15:57.000Z,2018-04-15T17:30:39.000Z,2018-04-17T23:55:49.000Z,2018-06-07T22:06:45.000Z,2018-05-17T00:00:00.000Z,2018_04_15
7dc27189eb855013011423a5dcac71c3,848a418025af5ffbbadfdedd85081da7,delivered,2018-04-15T18:55:17.000Z,2018-04-15T19:10:56.000Z,2018-04-16T19:26:26.000Z,2018-04-17T19:04:33.000Z,2018-04-27T00:00:00.000Z,2018_04_15
daac1a5a0e38caa76166f1569db2895c,e243da4d4f1c0043d86b95941d73fd45,delivered,2018-04-15T20:56:35.000Z,2018-04-15T21:09:55.000Z,2018-04-16T21:36:42.000Z,2018-04-18T21:56:28.000Z,2018-05-09T00:00:00.000Z,2018_04_15
ea1f26cda2f1854ff80a133e71ea9939,95200d2b14a993f488affb398652a2a2,delivered,2018-04-15T23:20:52.000Z,2018-04-15T23:32:05.000Z,2018-04-18T16:58:52.000Z,2018-05-03T16:49:00.000Z,2018-05-09T00:00:00.000Z,2018_04_15
0aa6d207e7ba004eef415715c25765ce,f467accea193ed2a3000f9ea4092820b,delivered,2018-04-15T11:59:06.000Z,2018-04-15T12:15:24.000Z,2018-04-17T03:34:43.000Z,2018-04-20T20:08:41.000Z,2018-05-04T00:00:00.000Z,2018_04_15
0fec5b52f7f6c1e7b725c742a8bdf7d4,478d1ae10b5cfa37f148adccee44970a,delivered,2018-04-15T11:05:16.000Z,2018-04-17T05:50:27.000Z,2018-04-18T17:32:37.000Z,2018-04-24T17:28:52.000Z,2018-05-07T00:00:00.000Z,2018_04_15
